,name,actual_price,selling_price,offer,rating(outof5),no_of_ratings,no_of_reviews,image_url,memory,dimension,camera,battery,processor,warranty,product_link
75,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)","₹29,999","₹24,999",16% off,4.3,"27,719 Ratings "," 3,922 Reviews",,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-edge-40-neo-black-beauty-256-gb/p/itmd1cc863c7e37a?pid=MOBGQFX6FXEZ3GCE&lid=LSTMOBGQFX6FXEZ3GCEQGSJBA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_148&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGQFX6FXEZ3GCE.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
76,"POCO C51 (Power Black, 128 GB)","₹10,999","₹6,999",36% off,4.1,"2,967 Ratings ", 153 Reviews,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/poco-c51-power-black-128-gb/p/itma7b694266a136?pid=MOBGSPJPH3UZHMEQ&lid=LSTMOBGSPJPH3UZHMEQAWJ6LR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_149&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGSPJPH3UZHMEQ.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
77,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹15,999","₹10,999",31% off,4.3,"48,265 Ratings "," 3,214 Reviews",,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/poco-m6-pro-5g-forest-green-128-gb/p/itmdd5c70c99f5b2?pid=MOBGRNZ3534YGMDR&lid=LSTMOBGRNZ3534YGMDRKLKLEM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_150&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGRNZ3534YGMDR.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
78,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹17,490","₹11,990",31% off,4.2,"32,009 Ratings "," 2,115 Reviews",,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-f14-5g-omg-black-128-gb/p/itm0d3b7a1452e4c?pid=MOBGNBFNDYQR9WH4&lid=LSTMOBGNBFNDYQR9WH4WXOLMD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_151&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGNBFNDYQR9WH4.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
79,"POCO C51 (Royal Blue, 128 GB)","₹10,999","₹6,999",36% off,4.1,"2,967 Ratings ", 153 Reviews,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/poco-c51-royal-blue-128-gb/p/itm9ade6427024be?pid=MOBGSPJPFSS9JJDW&lid=LSTMOBGSPJPFSS9JJDWVAIRSD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_152&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGSPJPFSS9JJDW.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
80,"realme 11 Pro 5G (Astral Black, 256 GB)","₹30,999","₹27,999",9% off,4.3,"1,736 Ratings ", 152 Reviews,,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm3f783627a36ec?pid=MOBGPUNGDGRHGTDW&lid=LSTMOBGPUNGDGRHGTDWGNQYBK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_153&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGPUNGDGRHGTDW.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
81,"APPLE iPhone 12 (Blue, 64 GB)","₹49,900","₹42,999",13% off,4.6,"2,06,344 Ratings "," 13,701 Reviews",,,,,,,,https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NMWAWOJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_154&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBFWBYZ8DNJNY7N.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
82,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹17,490","₹11,990",31% off,4.2,"32,009 Ratings "," 2,115 Reviews",,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmb10cf3ff01be8?pid=MOBGNBFNHKNP8XFG&lid=LSTMOBGNBFNHKNP8XFGW6VKDB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_155&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGNBFNHKNP8XFG.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
83,"Infinix HOT 30i (Marigold, 128 GB)","₹11,999","₹8,299",30% off,4.2,"1,32,903 Ratings "," 7,553 Reviews",,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-hot-30i-marigold-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2GNWPUGWW&lid=LSTMOBGNPK2GNWPUGWWWTPN01&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_156&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGNPK2GNWPUGWW.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
84,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹18,990","₹13,298",29% off,4.2,"11,779 Ratings ", 798 Reviews,,6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,,6000 mAh Battery,1 year for handset and 6 month for accessories,https://www.flipkart.com/samsung-galaxy-m14-5g-berry-blue-128-gb/p/itm922004d76b4f7?pid=MOBGZWSSAXNGYWRJ&lid=LSTMOBGZWSSAXNGYWRJKTUWBF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_157&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGZWSSAXNGYWRJ.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
85,"REDMI Note 12 5G (Sunrise Gold, 128 GB)","₹21,999","₹16,999",22% off,4.2,"12,408 Ratings ", 897 Reviews,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/redmi-note-12-5g-sunrise-gold-128-gb/p/itm7469fb9d2c5bf?pid=MOBGRM9XDHZ2BVMH&lid=LSTMOBGRM9XDHZ2BVMHHWJVBZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_158&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGRM9XDHZ2BVMH.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
86,"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹21,999","₹10,999",50% off,4.1,"54,467 Ratings "," 4,716 Reviews",,6 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g62-5g-midnight-gray-128-gb/p/itm37da299ffb2d0?pid=MOBGEDT5ZZMZQZSJ&lid=LSTMOBGEDT5ZZMZQZSJFXDZSQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_159&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGEDT5ZZMZQZSJ.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
87,"Infinix NOTE 12i (Force Black, 64 GB)","₹12,999","₹8,499",34% off,4.2,"14,490 Ratings "," 1,385 Reviews",,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-note-12i-force-black-64-gb/p/itmf9bf9f4663d76?pid=MOBGHXSMGZTRYYVY&lid=LSTMOBGHXSMGZTRYYVY0LVBSW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_160&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGHXSMGZTRYYVY.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
88,Micromax X512,"₹1,799","₹1,039",42% off,4,"4,551 Ratings ", 301 Reviews,,,,,,,,https://www.flipkart.com/micromax-x512/p/itmfhwvhrwhxq5tu?pid=MOBG8C3FGAQYHKFK&lid=LSTMOBG8C3FGAQYHKFKNTT8YP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_161&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBG8C3FGAQYHKFK.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
89,"Infinix Note 30 5G (Magic Black, 128 GB)","₹17,999","₹14,499",19% off,4.1,"3,903 Ratings ", 411 Reviews,,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,108 MP + 2 MP+ AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-note-30-5g-magic-black-128-gb/p/itm12c179f0a6281?pid=MOBGQ9HPMWYHPWY2&lid=LSTMOBGQ9HPMWYHPWY2V4EXOR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_162&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGQ9HPMWYHPWY2.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
90,"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)","₹74,999","₹28,499",62% off,4.3,"1,21,488 Ratings "," 11,765 Reviews",,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,,4500 mAh Lithium-ion Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-olive-green-128-gb/p/itm56c2ef5daa932?pid=MOBGCKMEMZE5UJXK&lid=LSTMOBGCKMEMZE5UJXK5D0HKM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_163&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGCKMEMZE5UJXK.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
91,"OPPO A17 (Lake Blue, 64 GB)","₹14,999","₹9,999",33% off,4.3,"12,341 Ratings ", 515 Reviews,,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.66 cm (6.56 inch) HD+ Display,50MP + 0.3MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G35 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/oppo-a17-lake-blue-64-gb/p/itm4aae9f8df9008?pid=MOBGMPHKWBPVCDW6&lid=LSTMOBGMPHKWBPVCDW6J9LMDX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_164&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGMPHKWBPVCDW6.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
92,"realme 11 Pro+ 5G (Astral Black, 256 GB)","₹32,999","₹29,999",9% off,4.4,"16,305 Ratings "," 1,585 Reviews",,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm5647cce338e55?pid=MOBGPU8HFZFVPY2A&lid=LSTMOBGPU8HFZFVPY2AKCOEBQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_165&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGPU8HFZFVPY2A.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
93,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹32,999","₹29,999",9% off,4.4,"16,305 Ratings "," 1,585 Reviews",,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm5647cce338e55?pid=MOBGPU8HQPGU7HVR&lid=LSTMOBGPU8HQPGU7HVRYDHQ4Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_166&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGPU8HQPGU7HVR.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
94,"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹32,999","₹29,999",9% off,4.4,"16,305 Ratings "," 1,585 Reviews",,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/realme-11-pro-5g-oasis-green-256-gb/p/itm5647cce338e55?pid=MOBGPU8HCGG9PCER&lid=LSTMOBGPU8HCGG9PCERHGOPBG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_167&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGPU8HCGG9PCER.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
95,"REDMI Note 12 (Lunar Black, 64 GB)","₹18,999","₹11,999",36% off,4.1,"27,360 Ratings "," 2,225 Reviews",,6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/redmi-note-12-lunar-black-64-gb/p/itm6756d6e7a86be?pid=MOBGNYHZJGGE3ZHM&lid=LSTMOBGNYHZJGGE3ZHMCSWYEM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_168&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGNYHZJGGE3ZHM.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429
96,"POCO M5 (Icy Blue, 128 GB)","₹18,999","₹8,999",52% off,4.2,"14,727 Ratings "," 1,020 Reviews",,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,"1 Year for Handset, 6 Months for Accessories",https://www.flipkart.com/poco-m5-icy-blue-128-gb/p/itmdff67fe6f5687?pid=MOBGHMZEP9EFTVA4&lid=LSTMOBGHMZEP9EFTVA4LNLEAO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_169&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGHMZEP9EFTVA4.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
97,"Infinix Note 30 5G (Magic Black, 256 GB)","₹19,999","₹14,999",25% off,4.2,"69,489 Ratings "," 7,588 Reviews",,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,108 MP + 2 MP+ AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-note-30-5g-magic-black-256-gb/p/itm12c179f0a6281?pid=MOBGQ9HPEZKFHZFQ&lid=LSTMOBGQ9HPEZKFHZFQUVHIKF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_170&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGQ9HPEZKFHZFQ.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
98,"REDMI 12 5G (Jade Black, 128 GB)","₹17,999","₹13,490",25% off,4.3,"11,820 Ratings ", 774 Reviews,,6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD Display,50MP Rear Camera,,5000 mAh Battery,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itm0c8ba13f6fc5b?pid=MOBGS7GYGUAJ4UYZ&lid=LSTMOBGS7GYGUAJ4UYZQOTF5R&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_171&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGS7GYGUAJ4UYZ.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
99,"REDMI 12 5G (Moonstone Silver, 128 GB)","₹17,999","₹13,485",25% off,4.3,"11,820 Ratings ", 774 Reviews,,6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Display,50MP Rear Camera,,5000 mAh Battery,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/redmi-12-5g-moonstone-silver-128-gb/p/itm0c8ba13f6fc5b?pid=MOBGS7JGZBZKPGGB&lid=LSTMOBGS7JGZBZKPGGBLGTP6I&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_172&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGS7JGZBZKPGGB.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
100,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹17,990","₹12,224",32% off,4.2,"2,806 Ratings ", 185 Reviews,,4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,,6000 mAh Battery,1 year for handset and 6 month for accessories,https://www.flipkart.com/samsung-galaxy-m14-5g-smoky-teal-128-gb/p/itm922004d76b4f7?pid=MOBGZWSZRKVHMZHW&lid=LSTMOBGZWSZRKVHMZHWDKZACZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_173&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGZWSZRKVHMZHW.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
101,"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹17,990","₹12,143",32% off,4.2,"2,806 Ratings ", 185 Reviews,,4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,,6000 mAh Battery,1 year for handset and 6 month for accessories,https://www.flipkart.com/samsung-galaxy-m14-5g-icy-silver-128-gb/p/itm922004d76b4f7?pid=MOBGZWT39QURPZEF&lid=LSTMOBGZWT39QURPZEFPVVWSN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_174&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGZWT39QURPZEF.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
102,"Google Pixel 7a (Charcoal, 128 GB)","₹43,999","₹38,999",11% off,4.1,"13,778 Ratings "," 1,572 Reviews",,8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor,1 Year Domestic Warranty,https://www.flipkart.com/google-pixel-7a-charcoal-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMHGWDYZQ7&lid=LSTMOBGZCQMHGWDYZQ71MTVC2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_175&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGZCQMHGWDYZQ7.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
103,"REDMI 12 5G (Pastel Blue, 128 GB)","₹17,999","₹13,584",24% off,4.3,"11,820 Ratings ", 774 Reviews,,6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Display,50MP Rear Camera,,5000 mAh Battery,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/redmi-12-5g-pastel-blue-128-gb/p/itm0c8ba13f6fc5b?pid=MOBGS7K3BFTXMMGG&lid=LSTMOBGS7K3BFTXMMGGDN4GDF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_176&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGS7K3BFTXMMGG.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
104,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹17,990","₹12,288",31% off,4.2,"2,806 Ratings ", 185 Reviews,,4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,,6000 mAh Battery,1 year for handset and 6 month for accessories,https://www.flipkart.com/samsung-galaxy-m14-5g-berry-blue-128-gb/p/itm922004d76b4f7?pid=MOBGZWSWUGFFWCEB&lid=LSTMOBGZWSWUGFFWCEBIAEU5X&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_177&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGZWSWUGFFWCEB.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
105,"Infinix NOTE 12i (Alpine White, 64 GB)","₹12,999","₹8,499",34% off,4.2,"14,490 Ratings "," 1,385 Reviews",,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-note-12i-alpine-white-64-gb/p/itmf9bf9f4663d76?pid=MOBGHXSMYN9CA9HT&lid=LSTMOBGHXSMYN9CA9HTAT7OJE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_178&otracker=search&otracker1=search&fm=organic&iid=101bc04a-09a4-4dfd-bf34-320d11438022.MOBGHXSMYN9CA9HT.SEARCH&ppt=None&ppn=None&ssid=cjrgjpj6000000001703699015328&qH=eb4af0bf07c16429
