actual_price,selling_price,offer,rating(outof5),no_of_ratings,no_of_reviews,battery,processor,warranty,product_link,Mobile_name,extracted_memory,RAM(in GB),ROM(in GB),expandable_memory,screen_size,display_type,rear_camera(in MP),front_camera(in MP),Model
10999,8999,18% off,4.3,57627,2536,5000.0,T612 Processor,1.0,https://www.flipkart.com/realme-c51-carbon-black-64-gb/p/itm0e93bcb87927f?pid=MOBGSQGGZ7HQMEZD&lid=LSTMOBGSQGGZ7HQMEZDQMM5MX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGSQGGZ7HQMEZD.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,realme C51,64 GB,4 GB,64 GB,Not Expandable,17.12 cm,HD,50.08MP,5MP,realme
22999,18999,17% off,4.2,25895,2707,5000.0,Snapdragon 695 Processor,1.0,https://www.flipkart.com/motorola-g84-5g-midnight-blue-256-gb/p/itm30dd9d1ed8bb8?pid=MOBGQFX68CXMTSGK&lid=LSTMOBGQFX68CXMTSGK7PXRBT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGQFX68CXMTSGK.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,MOTOROLA g84 5G,256 GB,12 GB,256 GB,Not Expandable,16.64 cm,Full HD,58.0MP,16MP,MOTOROLA
27999,22999,17% off,4.4,16546,2285,5000.0,Dimensity 7030 Processor,1.0,https://www.flipkart.com/motorola-edge-40-neo-caneel-bay-128-gb/p/itm122f351a3a2a3?pid=MOBGQFX6K7YQJRSY&lid=LSTMOBGQFX6K7YQJRSY6BK1PK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGQFX6K7YQJRSY.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,MOTOROLA Edge 40 Neo,128 GB,8 GB,128 GB,Not Expandable,16.64 cm,Full HD,63.0MP,32MP,MOTOROLA
7999,6299,21% off,4.4,4122,395,5000.0,T606 Processor,1.0,https://www.flipkart.com/infinix-smart-8-hd-shiny-gold-64-gb/p/itm709d885ba6ac1?pid=MOBGVAPXG4WHFR9M&lid=LSTMOBGVAPXG4WHFR9MJIYCWG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGVAPXG4WHFR9M.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,Infinix SMART 8 HD,64 GB,3 GB,64 GB,Not Expandable,16.76 cm,HD,13.0MP,8MP,Infinix
15999,10999,31% off,4.3,48265,3214,5000.0,Snapdragon 4 Gen 2 Processor,1.0,https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itm5b122ff13027f?pid=MOBGRNZ3FX5XNR2T&lid=LSTMOBGRNZ3FX5XNR2TILGJYM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGRNZ3FX5XNR2T.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,POCO M6 Pro 5G,128 GB,4 GB,128 GB,Not Expandable,17.25 cm,Full HD,52.0MP,8MP,POCO
18999,9999,47% off,4.1,100,8387,5000.0,Qualcomm Snapdragon 680 Processor,1.0,https://www.flipkart.com/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGM2EHJUTMXMFV.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,MOTOROLA G32,128 GB,8 GB,128 GB,Not Expandable,16.51 cm,Full HD,60.0MP,16MP,MOTOROLA
18490,13490,27% off,4.2,77490,5527,6000.0,"Exynos 1330, Octa Core Processor",1.0,https://www.flipkart.com/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGNBFNDPGNJ7HY.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,SAMSUNG Galaxy F14 5G,128 GB,6 GB,128 GB,Not Expandable,16.76 cm,Full HD,52.0MP,13MP,SAMSUNG
11999,6499,45% off,4.2,88477,5431,5000.0,Mediatek Helio G85 Processor,1.0,https://www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE79KIZDX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGMXSW55C7ZJE7.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,POCO C55,64 GB,4 GB,64 GB,Not Expandable,17.04 cm,HD,50.0MP,5MP,POCO
27999,24999,10% off,4.5,49963,4480,4600.0,Dimensity 7200 Processor,1.0,https://www.flipkart.com/vivo-t2-pro-5g-dune-gold-256-gb/p/itm1230688cdef18?pid=MOBGT4RZUPKD8HDK&lid=LSTMOBGT4RZUPKD8HDK4QMUBF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGT4RZUPKD8HDK.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,vivo T2 Pro 5G,256 GB,8 GB,256 GB,Not Expandable,17.22 cm,Full HD,66.0MP,16MP,vivo
14999,9499,36% off,4.3,85241,4691,5000.0,Helio G88 Processor,1.0,https://www.flipkart.com/redmi-12-moonstone-silver-128-gb/p/itme52e778c12701?pid=MOBGRMFK2MGRNG4Q&lid=LSTMOBGRMFK2MGRNG4QLTOTUC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGRMFK2MGRNG4Q.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,REDMI 12,128 GB,4 GB,128 GB,Not Expandable,17.25 cm,Full HD,60.0MP,8MP,REDMI
27999,22999,17% off,4.4,16546,2285,5000.0,Dimensity 7030 Processor,1.0,https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGQFX6JGTWFSGD.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,MOTOROLA Edge 40 Neo,128 GB,8 GB,128 GB,Not Expandable,16.64 cm,Full HD,63.0MP,32MP,MOTOROLA
11999,9499,20% off,4.3,57627,2536,5000.0,T612 Processor,1.0,https://www.flipkart.com/realme-c51-mint-green-128-gb/p/itm0e93bcb87927f?pid=MOBGU8PYH4CHK2YS&lid=LSTMOBGU8PYH4CHK2YS1LE0D5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_122&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGU8PYH4CHK2YS.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,realme C51,128 GB,4 GB,128 GB,Not Expandable,17.12 cm,HD,50.08MP,5MP,realme
18490,13490,27% off,4.2,77490,5527,6000.0,"Exynos 1330, Octa Core Processor",1.0,https://www.flipkart.com/samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmdc1c60aa887ff?pid=MOBGNBFNNZER2WZW&lid=LSTMOBGNBFNNZER2WZWDG8CJ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_123&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGNBFNNZER2WZW.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,SAMSUNG Galaxy F14 5G,128 GB,6 GB,128 GB,Not Expandable,16.76 cm,Full HD,52.0MP,13MP,SAMSUNG
12999,9999,23% off,4.4,86901,3923,5000.0,T612 Processor,1.0,https://www.flipkart.com/realme-c53-champion-black-64-gb/p/itm5df90168ecd05?pid=MOBGQY93HQSAGAXG&lid=LSTMOBGQY93HQSAGAXGQLZ2WK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_124&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGQY93HQSAGAXG.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,realme C53,64 GB,6 GB,64 GB,Not Expandable,17.12 cm,HD,110.0MP,8MP,realme
11999,9499,20% off,4.3,57627,2536,5000.0,T612 Processor,1.0,https://www.flipkart.com/realme-c51-carbon-black-128-gb/p/itm0e93bcb87927f?pid=MOBGU8PYQNEGCN7H&lid=LSTMOBGU8PYQNEGCN7HXECFNQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_125&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGU8PYQNEGCN7H.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,realme C51,128 GB,4 GB,128 GB,Not Expandable,17.12 cm,HD,50.08MP,5MP,realme
10999,7499,31% off,4.1,23486,1449,5000.0,Unisoc T606 Processor,1.0,https://www.flipkart.com/motorola-e13-cosmic-black-128-gb/p/itm04a41c3c76631?pid=MOBGQFX6SFZXR7PK&lid=LSTMOBGQFX6SFZXR7PK0Y2ZR0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_126&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGQFX6SFZXR7PK.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,MOTOROLA e13,128 GB,8 GB,128 GB,Not Expandable,16.51 cm,HD,13.0MP,5MP,MOTOROLA
11999,9999,16% off,4.1,18111,1309,5000.0,T612 Processor,1.0,https://www.flipkart.com/realme-c53-champion-gold-128-gb/p/itm5df90168ecd05?pid=MOBGQY93QMZFZJVN&lid=LSTMOBGQY93QMZFZJVNMUBTHX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_127&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGQY93QMZFZJVN.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,realme C53,128 GB,4 GB,128 GB,Not Expandable,17.12 cm,HD,110.0MP,8MP,realme
17999,13499,25% off,4.4,1570,82,5000.0,Snapdragon 4 Gen 2 Processor,1.0,https://www.flipkart.com/poco-m6-pro-5g-forest-green-256-gb/p/itm5600e7d7f5ddc?pid=MOBGVGDQ5JZ9YX2G&lid=LSTMOBGVGDQ5JZ9YX2GMH9CUM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_128&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGVGDQ5JZ9YX2G.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,POCO M6 Pro 5G,256 GB,8 GB,256 GB,Not Expandable,17.25 cm,Full HD,52.0MP,8MP,POCO
17999,14499,19% off,4.1,3903,411,5000.0,Dimensity 6080 Processor,1.0,https://www.flipkart.com/infinix-note-30-5g-sunset-gold-128-gb/p/itm12c179f0a6281?pid=MOBGQ9HPVTGHZCQG&lid=LSTMOBGQ9HPVTGHZCQGQFEYKE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_130&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGQ9HPVTGHZCQG.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,Infinix Note 30 5G,128 GB,4 GB,128 GB,Not Expandable,17.22 cm,Full HD,UnknownMP,16MP,Infinix
23999,13999,41% off,4.2,18670,1395,5000.0,Qualcomm Snapdragon 695 Processor,1.0,https://www.flipkart.com/poco-x5-5g-supernova-green-256-gb/p/itm275923a52e6c2?pid=MOBGNBFBABFZR3UR&lid=LSTMOBGNBFBABFZR3URHDBBIS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_131&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGNBFBABFZR3UR.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,POCO X5 5G,256 GB,8 GB,256 GB,Not Expandable,16.94 cm,Full HD,58.0MP,13MP,POCO
33999,27999,17% off,4.2,18717,1923,4980.0,Mediatek Dimensity 1080 Processor,1.0,https://www.flipkart.com/redmi-note-12-pro-5g-obsidian-black-256-gb/p/itm91af760b68910?pid=MOBGH2UVUGR9N5FW&lid=LSTMOBGH2UVUGR9N5FWGK3I2U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_133&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGH2UVUGR9N5FW.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,REDMI Note 12 Pro+ 5G,256 GB,8 GB,256 GB,Not Expandable,16.94 cm,AMOLED,210.0MP,16MP,REDMI
2699,1787,33% off,4.0,5303,398,800.0,0 0 0 208MHz Processor,1.0,https://www.flipkart.com/samsung-guru-music-2/p/itm2c9ea56f8959f?pid=MOBGAFCZ7FDHRZRE&lid=LSTMOBGAFCZ7FDHRZRERZZYCM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_134&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGAFCZ7FDHRZRE.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,SAMSUNG GURU MUSIC 2,Unknown,Unknown,0 GB,16 GB,5.08 cm,Normal Display,0.0MP,0MP,SAMSUNG
27999,21999,21% off,4.2,51378,4866,5000.0,Mediatek Dimensity 1080 Processor,1.0,https://www.flipkart.com/redmi-note-12-pro-5g-glacier-blue-128-gb/p/itm8fbee21008560?pid=MOBGH2UVZHHQGRRP&lid=LSTMOBGH2UVZHHQGRRPHJOZCG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_135&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGH2UVZHHQGRRP.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,REDMI Note 12 Pro 5G,128 GB,6 GB,128 GB,Not Expandable,16.94 cm,AMOLED,60.0MP,16MP,REDMI
17999,13499,25% off,4.4,1570,82,5000.0,Snapdragon 4 Gen 2 Processor,1.0,https://www.flipkart.com/poco-m6-pro-5g-power-black-256-gb/p/itme40c1e1538153?pid=MOBGVGDQ5MV3HPEZ&lid=LSTMOBGVGDQ5MV3HPEZ6BAJSL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_136&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGVGDQ5MV3HPEZ.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,POCO M6 Pro 5G,256 GB,8 GB,256 GB,Not Expandable,17.25 cm,Full HD,52.0MP,8MP,POCO
13999,10999,21% off,4.4,86901,3923,5000.0,T612 Processor,1.0,https://www.flipkart.com/realme-c53-champion-black-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGGM7CTGXU&lid=LSTMOBGTEVGGM7CTGXUWKURLB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_138&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGTEVGGM7CTGXU.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,realme C53,128 GB,6 GB,128 GB,Not Expandable,17.12 cm,HD,110.0MP,8MP,realme
9999,6999,30% off,4.3,126,6444,6000.0,Unisoc Spreadtrum SC9863A1 Processor,1.0,https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMAZGXKU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_139&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,Infinix SMART 7,64 GB,4 GB,64 GB,Not Expandable,16.76 cm,HD,13.0MP,5MP,Infinix
9999,6999,30% off,4.3,126,6444,6000.0,Unisoc Spreadtrum SC9863A1 Processor,1.0,https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB99HTRS1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_140&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,Infinix SMART 7,64 GB,4 GB,64 GB,Not Expandable,16.76 cm,HD,13.0MP,5MP,Infinix
10999,7299,33% off,4.3,126,6444,6000.0,Unisoc Spreadtrum SC9863A1 Processor,1.0,https://www.flipkart.com/infinix-smart-7-azure-blue-128-gb/p/itm7b72b66485a59?pid=MOBGRH6Y386CENMX&lid=LSTMOBGRH6Y386CENMXT973RF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_141&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGRH6Y386CENMX.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,Infinix SMART 7,128 GB,4 GB,128 GB,512 GB,16.76 cm,HD,13.0MP,5MP,Infinix
9999,6999,30% off,4.3,126,6444,6000.0,Unisoc Spreadtrum SC9863A1 Processor,1.0,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_142&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,Infinix SMART 7,64 GB,4 GB,64 GB,Not Expandable,16.76 cm,HD,13.0MP,5MP,Infinix
18999,11999,36% off,4.2,51724,3601,5000.0,Mediatek Dimensity 700 Processor,1.0,https://www.flipkart.com/poco-m4-5g-cool-blue-128-gb/p/itm1603244ab4f2e?pid=MOBGDRGPUMTED5D5&lid=LSTMOBGDRGPUMTED5D5B907AY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_143&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGDRGPUMTED5D5.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,POCO M4 5G,128 GB,6 GB,128 GB,512 GB,16.71 cm,Full HD,52.0MP,8MP,POCO
11499,7499,34% off,4.2,87100,4943,5000.0,Mediatek Helio P35 Processor,1.0,https://www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_6_144&otracker=search&otracker1=search&fm=organic&iid=2ac08880-4423-44e0-bcd3-b3762e6bcfd1.MOBGKY2V7QZ2QVFS.SEARCH&ppt=None&ppn=None&ssid=ys9ijmivwg0000001703699004997&qH=eb4af0bf07c16429,SAMSUNG Galaxy F04,64 GB,4 GB,64 GB,Not Expandable,16.51 cm,HD,15.0MP,5MP,SAMSUNG
9999,6999,30% off,4.3,126,6444,6000.0,Unisoc Spreadtrum SC9863A1 Processor,1.0,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_145&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,Infinix SMART 7,64 GB,4 GB,64 GB,Not Expandable,16.76 cm,HD,13.0MP,5MP,Infinix
18999,11999,36% off,4.2,51724,3601,5000.0,Mediatek Dimensity 700 Processor,1.0,https://www.flipkart.com/poco-m4-5g-cool-blue-128-gb/p/itm1603244ab4f2e?pid=MOBGDRGPUMTED5D5&lid=LSTMOBGDRGPUMTED5D5B907AY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_146&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGDRGPUMTED5D5.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,POCO M4 5G,128 GB,6 GB,128 GB,512 GB,16.71 cm,Full HD,52.0MP,8MP,POCO
11499,7499,34% off,4.2,87100,4943,5000.0,Mediatek Helio P35 Processor,1.0,https://www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_147&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGKY2V7QZ2QVFS.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,SAMSUNG Galaxy F04,64 GB,4 GB,64 GB,Not Expandable,16.51 cm,HD,15.0MP,5MP,SAMSUNG
29999,24999,16% off,4.3,27719,3922,5000.0,Dimensity 7030 Processor,1.0,https://www.flipkart.com/motorola-edge-40-neo-black-beauty-256-gb/p/itmd1cc863c7e37a?pid=MOBGQFX6FXEZ3GCE&lid=LSTMOBGQFX6FXEZ3GCEQGSJBA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_148&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGQFX6FXEZ3GCE.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,MOTOROLA Edge 40 Neo,256 GB,12 GB,256 GB,Not Expandable,16.64 cm,Full HD,63.0MP,32MP,MOTOROLA
10999,6999,36% off,4.1,2967,153,5000.0,Helio G36 Processor,1.0,https://www.flipkart.com/poco-c51-power-black-128-gb/p/itma7b694266a136?pid=MOBGSPJPH3UZHMEQ&lid=LSTMOBGSPJPH3UZHMEQAWJ6LR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_149&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGSPJPH3UZHMEQ.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,POCO C51,128 GB,6 GB,128 GB,Not Expandable,16.56 cm,HD,8.0MP,5MP,POCO
15999,10999,31% off,4.3,48265,3214,5000.0,Snapdragon 4 Gen 2 Processor,1.0,https://www.flipkart.com/poco-m6-pro-5g-forest-green-128-gb/p/itmdd5c70c99f5b2?pid=MOBGRNZ3534YGMDR&lid=LSTMOBGRNZ3534YGMDRKLKLEM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_150&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGRNZ3534YGMDR.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,POCO M6 Pro 5G,128 GB,4 GB,128 GB,Not Expandable,17.25 cm,Full HD,52.0MP,8MP,POCO
17490,11990,31% off,4.2,32009,2115,6000.0,"Exynos 1330, Octa Core Processor",1.0,https://www.flipkart.com/samsung-galaxy-f14-5g-omg-black-128-gb/p/itm0d3b7a1452e4c?pid=MOBGNBFNDYQR9WH4&lid=LSTMOBGNBFNDYQR9WH4WXOLMD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_151&otracker=search&otracker1=search&fm=organic&iid=eb027881-b7d9-44e2-b3fa-47bb69d340e5.MOBGNBFNDYQR9WH4.SEARCH&ppt=None&ppn=None&ssid=rhlr2quxdc0000001703699011295&qH=eb4af0bf07c16429,SAMSUNG Galaxy F14 5G,128 GB,4 GB,128 GB,Not Expandable,16.76 cm,Full HD,52.0MP,13MP,SAMSUNG
